#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|/data/spinprng_qs256_stream001.bin|  5.70e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.60876996|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.00047620|   WEAK   
  diehard_rank_32x32|   0|     40000|     100|0.36686680|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.23811446|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.68312689|  PASSED  
        diehard_opso|   0|   2097152|     100|0.00000006|  FAILED  
        diehard_oqso|   0|   2097152|     100|0.23830035|  PASSED  
         diehard_dna|   0|   2097152|     100|0.03085049|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.18239253|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.54877807|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.96238980|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.54328059|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.96373237|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.00106284|   WEAK   
        diehard_sums|   0|       100|     100|0.00022407|   WEAK   
        diehard_runs|   0|    100000|     100|0.73381593|  PASSED  
        diehard_runs|   0|    100000|     100|0.55944445|  PASSED  
       diehard_craps|   0|    200000|     100|0.01630313|  PASSED  
       diehard_craps|   0|    200000|     100|0.17064057|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.00000000|  FAILED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.00000454|   WEAK   
         sts_monobit|   1|    100000|     100|0.40183201|  PASSED  
            sts_runs|   2|    100000|     100|0.78107693|  PASSED  
          sts_serial|   1|    100000|     100|0.99439732|  PASSED  
          sts_serial|   2|    100000|     100|0.54860438|  PASSED  
          sts_serial|   3|    100000|     100|0.88278315|  PASSED  
          sts_serial|   3|    100000|     100|0.86346162|  PASSED  
          sts_serial|   4|    100000|     100|0.85759502|  PASSED  
          sts_serial|   4|    100000|     100|0.65055882|  PASSED  
          sts_serial|   5|    100000|     100|0.14105850|  PASSED  
          sts_serial|   5|    100000|     100|0.26366513|  PASSED  
          sts_serial|   6|    100000|     100|0.87877755|  PASSED  
          sts_serial|   6|    100000|     100|0.91750483|  PASSED  
          sts_serial|   7|    100000|     100|0.30624972|  PASSED  
          sts_serial|   7|    100000|     100|0.59540447|  PASSED  
          sts_serial|   8|    100000|     100|0.82976875|  PASSED  
          sts_serial|   8|    100000|     100|0.31432909|  PASSED  
          sts_serial|   9|    100000|     100|0.47482424|  PASSED  
          sts_serial|   9|    100000|     100|0.35466086|  PASSED  
          sts_serial|  10|    100000|     100|0.96671616|  PASSED  
          sts_serial|  10|    100000|     100|0.59929087|  PASSED  
          sts_serial|  11|    100000|     100|0.55737564|  PASSED  
          sts_serial|  11|    100000|     100|0.34268705|  PASSED  
          sts_serial|  12|    100000|     100|0.99697836|   WEAK   
          sts_serial|  12|    100000|     100|0.45223989|  PASSED  
          sts_serial|  13|    100000|     100|0.44470059|  PASSED  
          sts_serial|  13|    100000|     100|0.91387113|  PASSED  
          sts_serial|  14|    100000|     100|0.68703589|  PASSED  
          sts_serial|  14|    100000|     100|0.10737007|  PASSED  
          sts_serial|  15|    100000|     100|0.46042374|  PASSED  
          sts_serial|  15|    100000|     100|0.03322788|  PASSED  
          sts_serial|  16|    100000|     100|0.59234510|  PASSED  
