#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|        /data/sut_a_spinprng.bin|  4.16e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.66596980|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.99518058|   WEAK   
  diehard_rank_32x32|   0|     40000|     100|0.90855968|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.18031086|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.09200275|  PASSED  
        diehard_opso|   0|   2097152|     100|0.77827456|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.44214957|  PASSED  
         diehard_dna|   0|   2097152|     100|0.69298574|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.92172542|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.39275095|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.33358085|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.60130398|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.38423534|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.55710200|  PASSED  
        diehard_sums|   0|       100|     100|0.24678669|  PASSED  
        diehard_runs|   0|    100000|     100|0.75225113|  PASSED  
        diehard_runs|   0|    100000|     100|0.93508725|  PASSED  
       diehard_craps|   0|    200000|     100|0.00928924|  PASSED  
       diehard_craps|   0|    200000|     100|0.82721055|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.15128578|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.99048487|  PASSED  
         sts_monobit|   1|    100000|     100|0.99887476|   WEAK   
            sts_runs|   2|    100000|     100|0.93227736|  PASSED  
          sts_serial|   1|    100000|     100|0.84849765|  PASSED  
          sts_serial|   2|    100000|     100|0.98480072|  PASSED  
          sts_serial|   3|    100000|     100|0.88092980|  PASSED  
          sts_serial|   3|    100000|     100|0.95278858|  PASSED  
          sts_serial|   4|    100000|     100|0.54693326|  PASSED  
          sts_serial|   4|    100000|     100|0.36013384|  PASSED  
          sts_serial|   5|    100000|     100|0.33846240|  PASSED  
          sts_serial|   5|    100000|     100|0.96768577|  PASSED  
          sts_serial|   6|    100000|     100|0.01012736|  PASSED  
          sts_serial|   6|    100000|     100|0.09334003|  PASSED  
          sts_serial|   7|    100000|     100|0.19835445|  PASSED  
          sts_serial|   7|    100000|     100|0.58848147|  PASSED  
          sts_serial|   8|    100000|     100|0.12171802|  PASSED  
          sts_serial|   8|    100000|     100|0.46577044|  PASSED  
          sts_serial|   9|    100000|     100|0.04493402|  PASSED  
          sts_serial|   9|    100000|     100|0.75729946|  PASSED  
          sts_serial|  10|    100000|     100|0.60481581|  PASSED  
          sts_serial|  10|    100000|     100|0.99092007|  PASSED  
          sts_serial|  11|    100000|     100|0.96138454|  PASSED  
          sts_serial|  11|    100000|     100|0.83398779|  PASSED  
          sts_serial|  12|    100000|     100|0.92706030|  PASSED  
          sts_serial|  12|    100000|     100|0.50296936|  PASSED  
          sts_serial|  13|    100000|     100|0.58321904|  PASSED  
          sts_serial|  13|    100000|     100|0.83277967|  PASSED  
          sts_serial|  14|    100000|     100|0.58831535|  PASSED  
          sts_serial|  14|    100000|     100|0.55458124|  PASSED  
          sts_serial|  15|    100000|     100|0.67472554|  PASSED  
          sts_serial|  15|    100000|     100|0.27327395|  PASSED  
          sts_serial|  16|    100000|     100|0.89886369|  PASSED  
          sts_serial|  16|    100000|     100|0.94536931|  PASSED  
         rgb_bitdist|   1|    100000|     100|0.98740231|  PASSED  
         rgb_bitdist|   2|    100000|     100|0.20372078|  PASSED  
