#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|       /data/sut_b_isolation.bin|  6.31e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.48061006|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.64338131|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.29614271|  PASSED  
# The file file_input_raw was rewound 1 times
    diehard_rank_6x8|   0|    100000|     100|0.63238537|  PASSED  
# The file file_input_raw was rewound 1 times
   diehard_bitstream|   0|   2097152|     100|0.44907532|  PASSED  
# The file file_input_raw was rewound 2 times
        diehard_opso|   0|   2097152|     100|0.00000000|  FAILED  
# The file file_input_raw was rewound 2 times
        diehard_oqso|   0|   2097152|     100|0.00000000|  FAILED  
# The file file_input_raw was rewound 2 times
         diehard_dna|   0|   2097152|     100|0.19488136|  PASSED  
# The file file_input_raw was rewound 2 times
diehard_count_1s_str|   0|    256000|     100|0.13274283|  PASSED  
# The file file_input_raw was rewound 3 times
diehard_count_1s_byt|   0|    256000|     100|0.62579824|  PASSED  
# The file file_input_raw was rewound 3 times
 diehard_parking_lot|   0|     12000|     100|0.18735442|  PASSED  
# The file file_input_raw was rewound 3 times
    diehard_2dsphere|   2|      8000|     100|0.59274374|  PASSED  
# The file file_input_raw was rewound 3 times
    diehard_3dsphere|   3|      4000|     100|0.84099896|  PASSED  
# The file file_input_raw was rewound 4 times
     diehard_squeeze|   0|    100000|     100|0.62280837|  PASSED  
# The file file_input_raw was rewound 4 times
        diehard_sums|   0|       100|     100|0.35807450|  PASSED  
# The file file_input_raw was rewound 4 times
        diehard_runs|   0|    100000|     100|0.05924475|  PASSED  
        diehard_runs|   0|    100000|     100|0.15299589|  PASSED  
# The file file_input_raw was rewound 4 times
       diehard_craps|   0|    200000|     100|0.80126420|  PASSED  
       diehard_craps|   0|    200000|     100|0.11184541|  PASSED  
# The file file_input_raw was rewound 12 times
 marsaglia_tsang_gcd|   0|  10000000|     100|0.00225614|   WEAK   
 marsaglia_tsang_gcd|   0|  10000000|     100|0.00000000|  FAILED  
# The file file_input_raw was rewound 12 times
         sts_monobit|   1|    100000|     100|0.17808881|  PASSED  
# The file file_input_raw was rewound 12 times
            sts_runs|   2|    100000|     100|0.29291536|  PASSED  
# The file file_input_raw was rewound 12 times
          sts_serial|   1|    100000|     100|0.60921585|  PASSED  
          sts_serial|   2|    100000|     100|0.52850549|  PASSED  
          sts_serial|   3|    100000|     100|0.83654250|  PASSED  
          sts_serial|   3|    100000|     100|0.77492439|  PASSED  
          sts_serial|   4|    100000|     100|0.10391474|  PASSED  
          sts_serial|   4|    100000|     100|0.22614026|  PASSED  
          sts_serial|   5|    100000|     100|0.04202822|  PASSED  
          sts_serial|   5|    100000|     100|0.83890434|  PASSED  
          sts_serial|   6|    100000|     100|0.02411138|  PASSED  
          sts_serial|   6|    100000|     100|0.10662833|  PASSED  
          sts_serial|   7|    100000|     100|0.35206211|  PASSED  
          sts_serial|   7|    100000|     100|0.76903778|  PASSED  
          sts_serial|   8|    100000|     100|0.07167344|  PASSED  
          sts_serial|   8|    100000|     100|0.51142346|  PASSED  
          sts_serial|   9|    100000|     100|0.53568248|  PASSED  
          sts_serial|   9|    100000|     100|0.93962354|  PASSED  
          sts_serial|  10|    100000|     100|0.55012058|  PASSED  
